"Count","Name"
"21","D1c Verplichting links aanhouden.png"
"20","D1d Verplichting rechts aanhouden.png"
"19","', sign_code, '.png"
"17","F79 Tijdelijke verdeling van de rijstroken (met afstandsaanduiding).png"
"16","D1b Verplichting rechts afslaan.png"
"15","F117 Begin van lage emissiezone.png"
"15","F118 Einde van lage emissiezone.png"
"15","F97 Rijstrook versmalling.png"
"14","A1b Gevaarlijke bocht naar links.png"
"14","A1d Gevaarlijke dubbele bocht (links-rechts).png"
"14","A7c Versmalling langs links.png"
"13","D5 Verplicht rondgaand verkeer.png"
"13","D7 Verplicht fietspad.png"
"13","D9a Deel van de weg voorbehouden voor voetgangers en fietsers.png"
"13","D9b Deel van de weg voorbehouden voor voetgangers en fietsers.png"
"12","B15A Versmalling van rechts.png"
"12","D4 Verplicht rechts voor voertuigen die gevaarlijke goederen vervoeren.png"
"11","C43 Verbod te rijden met een grotere snelheid dan 70 km.png"
"11","D1b Verplichting links afslaan.png"
"11","D4 Verplicht linksaf voor voertuigen die gevaarlijke goederen vervoeren.png"
"11","D4 Verplicht rechtdoor voor voertuigen die gevaarlijke goederen vervoeren.png"
"11","E9a elektrisch laden Parkeerplaats voorbehouden voor het elektrisch opladen van je wagen.png"
"11","F39 Aankondiging van een omleiding.png"
"11","F50bis Opgepast als je van richting verandert voetgangers.png"
"11","F83 Versmalling van de rijbaan.png"
"11","F85 Verlegging van de rijbaan.png"
"11","F89 Aanduiding van de maximumsnelheid per rijstrook.png"
"11","F91 Aanduiding van de maximumsnelheid per rijstrook (zonder afstand).png"
"11","F95 Einde van een rijstrook.png"
"11","F98 Bijzondere rijstrookregeling.png"
"10","A9 Beweegbare brug.png"
"10","B11 Voorrang op tegenliggers.png"
"10","B15A Variant schuine rechts.png"
"10","B15B Versmalling van links.png"
"10","B15C Versmalling beide zijden.png"
"10","B15D Voorrang van rechts bij versmalling.png"
"10","B15E Voorrang van links bij versmalling.png"
"10","B15F Voorrang voor tegenliggers.png"
"10","B15G Tegenliggers hebben voorrang.png"
"10","B17 Voorrangskruispunt.png"
"10","B19 Verbod voor voertuigen elkaar niet te kruisen.png"
"10","B21 Voorrang op tegenliggers.png"
"10","B22 Fietsers en speedpedelecs rechtdoor bij rood.png"
"10","B9 Voorrang van rechts.png"
"10","C43 Verbod te rijden met een grotere snelheid dan 30 km.png"
"10","F87 Verhoogde inrichting (vluchtheuvel).png"
"9","A15 Gladde rijbaan - Slipgevaar.png"
"9","A1a Gevaarlijke bocht naar links.png"
"9","A35 Vliegtuigen op geringe hoogte.png"
"9","A39 Twee richtingsverkeer toegelaten na een stuk éénrichtingsverkeer.png"
"9","C43 Verbod te rijden met een grotere snelheid dan 50 km.png"
"9","E1 Parkeerverbod.png"
"9","E11 Halfmaandelijks parkeren in gans de bebouwde kom.png"
"9","E3 Stilstaan en parkeren verboden.png"
"9","F103 Begin van een voetgangerszone.png"
"9","F105 Einde van een voetgangerszone.png"
"9","F11 Einde van de autoweg.png"
"9","F111 Fietsstraat.png"
"9","F113 Einde fietsstraat.png"
"9","F13 Rijstrook keuze.png"
"9","F14 Opstelvak voor fietsers en bromfietsen.png"
"9","F19 Eenrichtingsverkeer.png"
"9","F21 Rechts of links voorbijrijden toegelaten.png"
"9","F43 Gemeentegrens.png"
"9","F45 Doodlopende weg.png"
"9","F47 Einde van de werken.png"
"9","F49 Oversteekplaats voor voetgangers.png"
"9","F5 Autosnelweg.png"
"9","F50 Oversteekplaats voor fietsers en bromfietsers.png"
"9","F7 Einde autosnelweg.png"
"9","F8 Tunnel.png"
"9","F81 Voorwegwijzer uitwijking.png"
"9","F9 Autoweg.png"
"9","ZC35 Zone verboden inhalen.png"
"9","ZC5 Zone verboden toegang voor motorvoertuigen met meer dan 2 wielen.png"
"8","A11 Uitweg op kaai of oever.png"
"8","A13 Dwarse uitholling of ezelsrug.png"
"8","A14 Verhoogde inrichting.png"
"8","A19 Vallende stenen links.png"
"8","A1c Gevaarlijke dubbele of meer dan twee bochten, de eerste naar links.png"
"8","A21 Oversteekplaats voor voetgangers.png"
"8","A23 Opgelet kinderen.png"
"8","A25 Oversteekplaats voor fietsers en bromfietsers.png"
"8","A27 Overstekend groot wild.png"
"8","A29 Overstekend vee.png"
"8","A3 Gevaarlijke daling.png"
"8","A31 Werken.png"
"8","A33 Verkeerslichten.png"
"8","A37 Zijwind.png"
"8","A41 Overweg met slagbomen.png"
"8","A43 Overweg zonder slagbomen.png"
"8","A45 waarschuwings kruis.png"
"8","A47 waarschuwingskruis meerdere sporen.png"
"8","A49 Openbare weg kruist met een of meer in de rijbaan aangelegde sporen.png"
"8","A5 Gevaarlijke helling.png"
"8","A50 Opgelet file.png"
"8","A51 Gevaar dat niet door een speciaal symbool wordt bepaald.png"
"8","A7a Versmalling langs beide zijden.png"
"8","A7b Versmalling links.png"
"8","B23 Fietsers en speed pedelecs mogen rechtdoor rijden en de verkeerslichten voorbijrijden.png"
"8","C1 Verboden richting voor iedere bestuurder.png"
"8","C11 Verboden toegang voor bestuurders van rijwielen met motor.png"
"8","C13 Verboden toegang voor bestuurders van gespannen..png"
"8","C15 Verboden toegang voor ruiters.png"
"8","C17 Verboden toegang voor bestuurders van handkarren.png"
"8","C19 Verboden toegang voor voetgangers.png"
"8","C21 Verboden toegang voor voertuigen met een massa groter dan aangeduid.png"
"8","C22 Verboden toegang voor bestuurders van autocars.png"
"8","C23 Verboden toegang voor bestuurders van voertuigen bestemd of gebruikt voor het vervoer van zaken.png"
"8","C24a Verboden toegang voor bestuurders van voertuigen die gevaarlijke goederen vervoeren.png"
"8","C24b Verboden toegang voor bestuurders van voertuigen die gevaarlijke ontvlambare of ontplofbare stoffen vervoeren.png"
"8","C24c Verboden toegang voor bestuurders van voertuigen die gevaarlijke verontreinigende stoffen vervoeren.png"
"8","C25 Verboden voor voertuigen langer dan het aangeduide.png"
"8","C27 Verboden voor voertuigen breder dan het aangeduide.png"
"8","C29 Verboden voor voertuigen hoger dan het aangeduide.png"
"8","C3 Verboden toegang in beide richtingen voor iedere bestuurder.png"
"8","C31a Verbod om links af te slaan.png"
"8","C31b Verbod rechts af te slaan.png"
"8","C33 Verbod om te keren.png"
"8","C37 Einde verbod opgelegd door het verkeersbord C35.png"
"8","C39 Verbod voertuigen met toegelaten massa groter dan 3500 kg in te halen.png"
"8","C45 Einde van de snelheidsbeperking opgelegd door het verkeersbord C43.png"
"8","C46 Einde van alle plaatselijke verbodsbepalingen opgelegd aan de voertuigen in beweging.png"
"8","C47 Tolpost. Verbod voorbij te rijden zonder te stoppen.png"
"8","C9 Verboden toegang voor bestuurders van bromfietsen.png"
"8","D10 Deel van de weg voorbehouden voor voetgangers en fietsers.png"
"8","D11 Verplichte weg voor voetgangers.png"
"8","D1a Verplichting rechtdoor.png"
"8","D1e Verplicht de aangeduide richting te volgen (linksaf).png"
"8","D1f Verplicht de aangeduide richting te volgen (rechtsaf).png"
"8","D3a Verplicht één van de pijlen te volgen.png"
"8","D3b Verplicht één van de pijlen te volgen.png"
"8","E5 Parkeerverbod van de 1e tot de 15e van de maand.png"
"8","E7 Parkeerverbod van de 16e tot het einde van de maand.png"
"8","E9a mindervaliden Parkeren enkel toegelaten voor mindervaliden.png"
"8","E9a parkeerschijf Parkeren beperkt in tijd, parkeerschijf verplicht.png"
"8","E9c Parkeren uitsluitend voorvrachtwagens.png"
"8","E9d Parkeren uitsluitend voor autocars.png"
"8","E9e Verplicht parkeren op de berm of op het trottoir.png"
"8","E9f Verplicht parkeren deels op de berm of op het trottoir.png"
"8","E9i Parkeren uitsluitend voor motorfietsen.png"
"8","E9j wisselend parkeren Parkeerplaats voorzien voor wisselend parkeren fietsers en autos.png"
"8","F101b Einde deel van de openbare weg voorbehouden voor fietsers en voetgangers.png"
"8","F12a Begin van een woonerf of van een erf.png"
"8","F12b Einde van een woonerf of van een erf.png"
"8","F17 Rijstrook aanduiding voorbehouden voor autobussen.png"
"8","F18 Bijzondere overrijdbare bedding.png"
"8","F23a Nummer van een gewone weg.png"
"8","F23b Nummer van een autosnelweg.png"
"8","F23c Nummer van een internationale weg.png"
"8","F23d Nummer van een ringweg.png"
"8","F3b Einde van een bebouwde kom.png"
"8","F45L Doodlopende weg, linkse doorgang.png"
"8","F45R Doodlopende weg, rechtse doorgang.png"
"8","F99b Deel van de openbare weg voorbehouden voor fietsers en voetgangers.png"
"8","GIa Aanduiding van een afstand.png"
"8","GIb Aanduiding van een afstand.png"
"8","GIII Opgepast kans op ijzel.png"
"8","GVIIa Aanvulling van de verkeersborden voor parkeren.png"
"8","GVIIb Aanvulling van de verkeersborden voor parkeren.png"
"8","GVIId Aanvulling van de verkeersborden voor parkeren.png"
"8","GVIII Voorrangs aanduiding.png"
"8","GXI Afrit.png"
"8","ZE1 Zone parkeerverbod.png"
"7","A17 Kiezelprojectie.png"
"7","B1 Voorrang verlenen.png"
"7","B15A Variant schuine links.png"
"7","B5 Stop en voorrang verlenen.png"
"7","C35 Verbod een voertuig links in te halen.png"
